source	destination	value	model	nSim	nSeq	protocol
Region3	Region2	1.0	simulation	33	150	biased_5
Region1	Region3	1.0	simulation	33	150	biased_5
Region2	Region3	3.0	simulation	33	150	biased_5
Region3	Region3	11.0	simulation	33	150	biased_5
Region1	Region1	101.0	simulation	33	150	maxPerRegionYear_5
Region2	Region1	11.0	simulation	33	150	maxPerRegionYear_5
Region3	Region1	1.0	simulation	33	150	maxPerRegionYear_5
Region1	Region2	20.0	simulation	33	150	maxPerRegionYear_5
Region2	Region2	90.0	simulation	33	150	maxPerRegionYear_5
Region3	Region2	5.0	simulation	33	150	maxPerRegionYear_5
Region1	Region3	4.0	simulation	33	150	maxPerRegionYear_5
Region2	Region3	10.0	simulation	33	150	maxPerRegionYear_5
Region3	Region3	51.0	simulation	33	150	maxPerRegionYear_5
Region1	Region1	13.0	simulation	33	150	uniformS_50
Region2	Region1	3.0	simulation	33	150	uniformS_50
Region3	Region1	2.0	simulation	33	150	uniformS_50
Region1	Region2	20.0	simulation	33	150	uniformS_50
Region2	Region2	242.0	simulation	33	150	uniformS_50
Region3	Region2	3.0	simulation	33	150	uniformS_50
Region1	Region3	1.0	simulation	33	150	uniformS_50
Region2	Region3	1.0	simulation	33	150	uniformS_50
Region3	Region3	7.0	simulation	33	150	uniformS_50
Region1	Region1	83.0	simulation	33	150	maxPerRegion_5
Region2	Region1	13.0	simulation	33	150	maxPerRegion_5
Region3	Region1	1.0	simulation	33	150	maxPerRegion_5
Region1	Region2	9.0	simulation	33	150	maxPerRegion_5
Region2	Region2	94.0	simulation	33	150	maxPerRegion_5
Region3	Region2	3.0	simulation	33	150	maxPerRegion_5
Region1	Region3	5.0	simulation	33	150	maxPerRegion_5
Region2	Region3	6.0	simulation	33	150	maxPerRegion_5
Region3	Region3	80.0	simulation	33	150	maxPerRegion_5
Region1	Region1	98.0	simulation	33	150	uniform
Region2	Region1	8.0	simulation	33	150	uniform
Region3	Region1	2.0	simulation	33	150	uniform
Region1	Region2	12.0	simulation	33	150	uniform
Region2	Region2	115.0	simulation	33	150	uniform
Region3	Region2	2.0	simulation	33	150	uniform
Region1	Region3	4.0	simulation	33	150	uniform
Region2	Region3	6.0	simulation	33	150	uniform
Region3	Region3	46.0	simulation	33	150	uniform
Region1	Region1	8.0	simulation	33	150	uniformS_20
Region2	Region1	2.0	simulation	33	150	uniformS_20
Region3	Region1	2.0	simulation	33	150	uniformS_20
Region1	Region2	11.0	simulation	33	150	uniformS_20
Region2	Region2	258.0	simulation	33	150	uniformS_20
Region3	Region2	1.0	simulation	33	150	uniformS_20
Region1	Region3	1.0	simulation	33	150	uniformS_20
Region2	Region3	2.0	simulation	33	150	uniformS_20
Region3	Region3	7.0	simulation	33	150	uniformS_20
Region1	Region1	80.0	simulation	33	150	maxPerRegion_20
